coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
PRT,OBS,OBS,OBS,OBS,NAL,NAL,OBS,AST,OBS,PRT,LCD,OBS
OBS,ACP,CBA,NAL,ACE,OBS,OBS,AST,OBS,SCL,CBT,OBS,ACG
ACG,PRT,OBS,OBS,OBS,AUR,CBT,OBS,SAC,OBS,SCL,LCD,ACP
SCL,OBS,CBA,NAL,CBA,OBS,NAL,ACA,OBS,SCL,PRT,ACE,ACG
AST,ACG,OBS,OBS,OBS,NAL,OBS,OBS,CBA,ACG,CBT,PRT,OBS
OBS,PRT,CBA,SCL,AST,OBS,NAL,ACA,OBS,SCL,SCL,OBS,ACP
NAL,OBS,NAL,OBS,OBS,SAC,OBS,OBS,PRT,ACG,PRT,NAL,LIT
AST,PRT,OBS,NAL,AST,NAL,NAL,ACA,OBS,AUR,CBT,AUR,OBS
PRT,ACG,PRT,OBS,OBS,OBS,OBS,OBS,AST,SCL,SCL,PRT,EMA
AST,PRT,OBS,SCL,AST,NAL,CBT,ACA,OBS,AUR,APV,OBS,ACD
APV,ACA,LIT,OBS,OBS,OBS,NAL,OBS,AST,NAL,CBT,APV,OBS
PRT,OBS,OBS,SCL,AST,NAL,OBS,ACA,,SCL,OBS,OBS,ACP
APV,ACP,CBA,OBS,OBS,OBS,LIT,ACP,,AUR,SCL,APV,ACG
AST,OBS,OBS,SCL,ACP,AST,NAL,OBS,,OBS,ACP,OBS,ACP
PRT,PRT,NAL,OBS,OBS,NAL,CBA,PRT,,NAL,CBT,APV,OBS
AST,OBS,OBS,SCL,ACP,OBS,OBS,OBS,,OBS,SCL,OBS,ACP
APV,CBT,NAL,OBS,OBS,NAL,NAL,AUR,,NAL,AUR,,OBS
AUR,OBS,OBS,SCL,ACP,OBS,OBS,AST,,AUR,CBT,LIT,ACG
PRT,PRT,NAL,OBS,OBS,ACD,NAL,ACP,,SCL,SCL,OBS,ACD
OBS,OBS,OBS,SCL,ACP,OBS,APV,OBS,,ACG,OBS,LIT,OBS
PRT,AST,PRT,LCD,OBS,ACD,AUR,ACP,,OBS,SCL,ACA,AST
OBS,OBS,NAL,OBS,ACP,NAL,APV,ACG,,NAL,AUR,ACP,OBS
ACP,PRT,OBS,NAL,OBS,OBS,OBS,OBS,OBS,SCL,ACD,OBS,AST
OBS,ACG,PRT,OBS,ACP,NAL,NAL,ACG,AST,NAL,AST,PRT,OBS
ACP,PRT,NAL,SCL,OBS,OBS,OBS,OBS,OBS,SCL,CBT,AST,AST
OBS,OBS,OBS,OBS,ACP,NAL,APV,ACG,AST,ACP,SCL,OBS,OBS
PRT,ACP,AUR,PRT,OBS,OBS,NAL,OBS,OBS,OBS,AUR,NAL,AST
NAL,LIT,OBS,NAL,ACP,NAL,OBS,AUR,AST,ACP,CBT,AUR,ACD
OBS,OBS,ACP,APV,OBS,OBS,AST,OBS,OBS,SCL,SCL,OBS,AST
ACG,AST,OBS,NAL,ACA,CBA,OBS,AST,SCL,AST,ACG,AST,OBS
OBS,OBS,ACP,APV,OBS,NAL,ACD,AUR,ACG,OBS,OBS,OBS,AST
PRT,ACG,OBS,NAL,AUR,OBS,AST,OBS,OBS,SCL,CBT,AST,OBS
OBS,ACP,ACP,OBS,OBS,NAL,NAL,AUR,CBA,AST,SCL,OBS,ACP
NAL,OBS,OBS,SCL,AUR,OBS,OBS,OBS,OBS,NAL,AST,AST,ACA
OBS,ACG,PRT,OBS,OBS,ACE,ACD,AUR,AUR,OBS,CBT,LCD,OBS
PRT,PRT,OBS,NAL,AUR,AST,OBS,OBS,OBS,SCL,OBS,OBS,ACA
OBS,AST,PRT,OBS,OBS,NAL,PRT,AUR,ECA,AST,SCL,LCD,OBS
PRT,PRT,OBS,PRT,CBA,OBS,NAL,OBS,OBS,SCL,AST,ACD,ACP
OBS,AST,NAL,OBS,OBS,ACE,OBS,ECA,ECA,AUR,CBT,AST,ACA
ACA,AUR,OBS,PRT,ACP,AST,NAL,AUR,OBS,NAL,SCL,OBS,OBS
OBS,OBS,NAL,OBS,OBS,OBS,AST,OBS,ECA,SCL,AUR,LCD,ACA
ACP,ACG,AUR,NAL,ACP,ACG,NAL,AUR,OBS,AUR,ACA,OBS,ACG
OBS,AST,OBS,OBS,OBS,ACE,OBS,OBS,CBA,SCL,OBS,LCD,OBS
PRT,PRT,AUR,SCL,ACP,NAL,CBT,AUR,OBS,OBS,ACA,AST,ACG
OBS,OBS,NAL,OBS,OBS,OBS,NAL,OBS,AUR,NAL,,OBS,AST
PRT,ACG,OBS,SCL,ACP,NAL,OBS,AUR,OBS,AUR,,AST,OBS
OBS,PRT,NAL,OBS,OBS,OBS,SAC,OBS,ACA,NAL,,AUR,AST
PRT,OBS,OBS,ACP,ACP,NAL,OBS,AUR,OBS,OBS,,OBS,OBS
OBS,ACG,ACP,NAL,OBS,OBS,ECA,OBS,ACP,NAL,,ACD,AST
LIT,PRT,NAL,OBS,ACP,NAL,PRT,AUR,OBS,OBS,,AST,OBS
OBS,OBS,OBS,NAL,OBS,OBS,OBS,OBS,AST,SCL,,LCD,AST
SAC,PRT,AUR,OBS,ACP,AUR,NAL,ACP,OBS,AUR,,AST,PRT
OBS,ACP,OBS,AST,CBA,OBS,OBS,OBS,AST,AST,,OBS,OBS
ACP,OBS,ACP,OBS,OBS,ACG,ECA,SCL,OBS,SCL,,AUR,ACP
OBS,ACE,OBS,ACP,AUR,NAL,PRT,OBS,ACA,AST,,AST,ACG
ACG,PRT,NAL,OBS,OBS,OBS,OBS,AUR,OBS,SCL,CBT,PRT,ACE
ACP,OBS,OBS,NAL,NAL,NAL,PRT,OBS,AUR,AST,SCL,OBS,PRT
ACG,ACE,AUR,OBS,OBS,OBS,NAL,AUR,OBS,OBS,ACA,LIT,OBS
OBS,PRT,OBS,NAL,AUR,SAC,OBS,OBS,AST,ACE,CBT,ACA,PRT
NAL,ACG,NAL,OBS,OBS,OBS,PRT,AUR,OBS,SCL,SCL,ACP,ACE
OBS,PRT,OBS,PRT,ACD,AUR,OBS,OBS,SAC,ACG,PRT,ACG,OBS
PRT,OBS,NAL,SCL,OBS,OBS,ECA,AUR,OBS,OBS,CBT,AST,ACE
OBS,PRT,APV,NAL,SCL,NAL,PRT,OBS,APV,ECA,OBS,ACD,OBS
PRT,ACG,OBS,OBS,OBS,OBS,OBS,AUR,OBS,ACG,CBT,OBS,ACE
AST,PRT,APV,NAL,SCL,NAL,ECA,OBS,SCL,ACA,SCL,AUR,OBS
APV,OBS,OBS,OBS,OBS,OBS,PRT,AUR,PRT,ACD,OBS,OBS,AST
OBS,ACD,APV,ACP,SCL,ACP,OBS,OBS,OBS,OBS,SCL,ACE,OBS
ACD,PRT,OBS,OBS,OBS,NAL,LIT,AUR,PRT,NAL,ACD,ACD,ACP
OBS,OBS,NAL,ACD,SCL,ACP,OBS,OBS,OBS,OBS,AST,AST,ACG
ACP,ACG,AUR,OBS,OBS,NAL,NAL,AUR,AST,AST,CBT,EMA,OBS
ACG,PRT,OBS,ACD,SCL,OBS,OBS,OBS,OBS,OBS,SCL,LCD,ECA
NAL,AST,SAC,SCL,OBS,ACG,ACA,AST,CBA,NAL,AUR,AST,AST
OBS,OBS,OBS,ACD,ACD,NAL,NAL,AUR,OBS,AUR,CBT,AUR,OBS
ACG,ACE,CBA,OBS,OBS,OBS,ACA,OBS,ACP,NAL,SCL,OBS,AST
OBS,ACG,NAL,ACD,NAL,NAL,OBS,LCD,NAL,OBS,AUR,AST,OBS
ACG,ACD,OBS,OBS,OBS,OBS,NAL,AUR,OBS,SCL,CBT,PRT,AST
OBS,ACA,LIT,ACD,ACD,NAL,OBS,OBS,NAL,OBS,OBS,OBS,OBS
ACE,ACG,OBS,OBS,OBS,AUR,PRT,AUR,OBS,SCL,SCL,NAL,AST
OBS,PRT,LIT,ACD,ACD,NAL,OBS,OBS,NAL,AST,AST,PRT,OBS
PRT,OBS,OBS,OBS,OBS,OBS,PRT,AST,OBS,NAL,CBT,AST,AST
AST,ACP,LIT,ACD,NAL,AUR,OBS,AUR,CBA,OBS,OBS,AUR,OBS
APV,OBS,OBS,OBS,OBS,OBS,PRT,OBS,OBS,NAL,SCL,OBS,AST
SCL,PRT,LIT,ACD,NAL,AUR,NAL,AST,AUR,OBS,AST,AST,OBS
AST,OBS,OBS,OBS,OBS,OBS,OBS,AUR,OBS,AST,CBT,OBS,LCD
OBS,ACE,LIT,ACD,NAL,NAL,LIT,OBS,AST,NAL,OBS,AST,ACD
ACG,OBS,OBS,OBS,OBS,AUR,NAL,ACG,OBS,OBS,CBA,LCD,AST
OBS,PRT,LIT,ACD,AST,OBS,OBS,AST,AUR,ACD,OBS,AUR,APV
PRT,OBS,OBS,OBS,OBS,AST,NAL,AUR,OBS,SCL,CBT,OBS,AUR
OBS,PRT,AUR,ACD,AST,OBS,OBS,OBS,ACG,ACD,OBS,EMA,OBS
AST,OBS,OBS,OBS,OBS,ACP,ACA,SCL,ACP,AST,SCL,PRT,AUR
OBS,PRT,APV,NAL,AST,OBS,OBS,AUR,ACA,NAL,ACG,APV,PRT
ACG,OBS,OBS,OBS,OBS,NAL,NAL,OBS,OBS,OBS,CBT,LIT,APV
OBS,CBA,APV,NAL,AST,OBS,OBS,AUR,ACP,SCL,OBS,OBS,OBS
ACG,OBS,OBS,OBS,OBS,LIT,ACD,OBS,OBS,AST,SCL,LIT,ACD
OBS,CBA,APV,AUR,AST,OBS,OBS,AST,AUR,OBS,OBS,ACA,AUR
ACE,OBS,AUR,OBS,OBS,NAL,ACE,AUR,OBS,SCL,SCL,ACP,APV
OBS,ACP,OBS,AST,AST,OBS,PRT,OBS,ACG,AST,ACG,ACG,PRT
AST,ACG,NAL,OBS,OBS,AUR,ACE,AUR,NAL,OBS,OBS,OBS,OBS
OBS,OBS,OBS,AST,AST,NAL,PRT,OBS,OBS,SCL,SCL,ACD,AUR
AST,PRT,ACP,OBS,OBS,OBS,CBT,ACG,ACE,AST,AST,AST,OBS
OBS,OBS,OBS,NAL,AST,ACG,LIT,AUR,OBS,LCD,OBS,OBS,AUR
ACG,ACP,AUR,OBS,OBS,ACE,OBS,OBS,AST,OBS,CBA,NAL,ACE
ACP,PRT,OBS,APV,AST,NAL,PRT,AUR,OBS,NAL,ACE,AST,APV
PRT,OBS,ACP,OBS,OBS,OBS,NAL,OBS,AST,AUR,OBS,AUR,ACD
OBS,ACG,ECA,APV,AST,NAL,PRT,AUR,OBS,OBS,ECA,OBS,AST
NAL,ACD,OBS,OBS,OBS,OBS,NAL,OBS,AUR,SCL,OBS,PRT,PRT
OBS,PRT,ACP,APV,AST,NAL,OBS,AUR,OBS,AST,NAL,APV,ACP
AST,OBS,OBS,OBS,OBS,OBS,ACD,OBS,AUR,NAL,OBS,AST,ACG
OBS,ACG,ECA,NAL,AST,NAL,OBS,AUR,OBS,OBS,NAL,AUR,ACP
NAL,ACE,OBS,OBS,OBS,OBS,ACD,OBS,ACG,NAL,ACG,OBS,ACG
ACG,PRT,AUR,AUR,ACG,AUR,NAL,AUR,OBS,OBS,OBS,AUR,ACA
OBS,ACE,OBS,OBS,OBS,OBS,OBS,OBS,AUR,SCL,ACG,NAL,LIT
ACG,PRT,ACG,AUR,ACG,ACG,NAL,AUR,OBS,LIT,AST,AUR,OBS
OBS,AST,OBS,OBS,OBS,NAL,AST,OBS,APV,OBS,OBS,OBS,NAL
ACG,ACE,AST,NAL,ACG,OBS,NAL,AUR,OBS,LIT,ACG,AUR,ACA
ACE,PRT,OBS,OBS,OBS,NAL,AST,OBS,APV,OBS,OBS,OBS,OBS
OBS,AST,AST,CBA,ACG,SCL,NAL,AUR,NAL,NAL,NAL,NAL,APV
ACD,PRT,OBS,OBS,OBS,OBS,OBS,OBS,OBS,SCL,OBS,ACD,OBS
PRT,ACG,AST,AST,ACG,NAL,ACG,LCD,NAL,NAL,EMA,AST,PRT
AST,OBS,OBS,OBS,OBS,CBA,ACE,OBS,OBS,SCL,OBS,OBS,OBS
APV,PRT,ACG,NAL,ACG,NAL,PRT,CBA,AUR,AST,EMA,LCD,PRT
OBS,ACG,OBS,OBS,OBS,SCL,ACE,SCL,OBS,NAL,OBS,AST,OBS
AUR,PRT,ACP,NAL,ACG,OBS,PRT,AUR,AUR,OBS,PRT,LCD,AST
OBS,ACG,NAL,SCL,OBS,NAL,ACE,OBS,OBS,SCL,OBS,OBS,OBS
AUR,PRT,OBS,OBS,ACG,SCL,OBS,LCD,NAL,OBS,PRT,NAL,AST
OBS,OBS,APV,SCL,OBS,NAL,AUR,ECA,AUR,NAL,OBS,OBS,OBS
AUR,ACG,OBS,OBS,ACG,SCL,OBS,OBS,OBS,OBS,ECA,LIT,AST
OBS,PRT,NAL,ACA,OBS,OBS,ACG,NAL,AUR,NAL,NAL,OBS,AUR
PRT,ACD,CBA,OBS,ACG,NAL,NAL,LCD,OBS,APV,OBS,LIT,AST
OBS,OBS,NAL,NAL,OBS,OBS,ACG,OBS,AUR,OBS,ACP,ACA,OBS
PRT,PRT,AUR,OBS,ACG,NAL,ACD,LCD,OBS,APV,OBS,OBS,APV
AST,OBS,OBS,ACP,OBS,OBS,AST,OBS,,OBS,ECA,ACA,OBS
APV,ACG,AST,OBS,ACG,NAL,ACG,LCD,,NAL,OBS,OBS,APV
OBS,PRT,OBS,NAL,,OBS,APV,OBS,,OBS,ACD,AUR,OBS
ACG,ACG,ACD,OBS,,NAL,NAL,LCD,,NAL,AST,OBS,PRT
OBS,PRT,AST,APV,,OBS,OBS,OBS,,SCL,NAL,AST,OBS
AUR,OBS,NAL,OBS,,NAL,NAL,AUR,,PRT,OBS,OBS,ACD
ACP,ACG,OBS,LCD,,AUR,OBS,OBS,,OBS,NAL,LCD,OBS
PRT,AST,ACG,OBS,,OBS,APV,AUR,,AST,,OBS,ACD
CBA,OBS,OBS,LCD,,AUR,LCD,OBS,,NAL,,NAL,OBS
PRT,ACG,NAL,OBS,,NAL,ACG,AUR,,ACP,,APV,APV
OBS,PRT,OBS,PRT,,OBS,ACD,OBS,,NAL,,AUR,PRT
LIT,OBS,AST,NAL,,AUR,OBS,LCD,OBS,OBS,,OBS,APV
PRT,PRT,OBS,OBS,,OBS,AUR,OBS,ECA,NAL,,AUR,PRT
OBS,AST,ACE,PRT,OBS,ACD,NAL,AUR,NAL,SCL,,OBS,ACD
PRT,PRT,OBS,OBS,ACE,OBS,ACG,OBS,OBS,ACG,,NAL,OBS
NAL,AST,ACP,ACG,OBS,AST,NAL,AUR,AST,OBS,,OBS,PRT
AST,PRT,OBS,ACP,CBA,OBS,AST,OBS,OBS,SCL,,AST,ACE
APV,AST,ECA,OBS,OBS,AST,ACG,AUR,NAL,ACG,,OBS,APV
OBS,OBS,OBS,APV,AST,OBS,PRT,OBS,OBS,AST,ACP,PRT,OBS
ACG,ACG,ACP,OBS,OBS,NAL,AST,AUR,CBA,SCL,ACA,OBS,APV
ACP,ACE,ECA,APV,AST,OBS,ACG,OBS,OBS,ACD,OBS,ACP,OBS
OBS,PRT,OBS,OBS,OBS,ACE,AST,LCD,ECA,AST,SCL,OBS,APV
NAL,OBS,AUR,NAL,AST,OBS,ACD,ECA,OBS,NAL,ACG,ACA,OBS
PRT,ACG,OBS,LCD,OBS,PRT,NAL,AUR,AUR,OBS,OBS,OBS,APV
OBS,ACE,ACP,NAL,AST,APV,QAPV,OBS,OBS,SCL,ACG,LCD,OBS
NAL,PRT,ACG,OBS,OBS,OBS,AUR,AUR,AUR,AST,AUR,OBS,APV
PRT,OBS,OBS,NAL,ACP,AUR,OBS,OBS,OBS,NAL,OBS,LCD,OBS
OBS,PRT,AST,OBS,OBS,OBS,AUR,AUR,CBA,OBS,NAL,OBS,ACG
ACA,OBS,OBS,PRT,ACP,PRT,PRT,OBS,OBS,ACE,OBS,LCD,OBS
PRT,ACG,AST,OBS,OBS,APV,ACG,AUR,AUR,NAL,SAC,OBS,SCL
OBS,PRT,OBS,PRT,ACP,OBS,AST,OBS,OBS,OBS,PRT,NAL,ACP
PRT,OBS,AST,OBS,OBS,AUR,NAL,SCL,APV,NAL,OBS,AUR,OBS
OBS,PRT,OBS,ACP,ACP,OBS,APV,AUR,OBS,OBS,SCL,OBS,PRT
PRT,OBS,AST,OBS,OBS,AUR,NAL,OBS,AUR,ACE,OBS,APV,ACG
OBS,ACG,OBS,ACG,ACP,OBS,APV,AUR,OBS,OBS,SCL,OBS,ACP
PRT,PRT,AST,OBS,OBS,APV,AUR,OBS,AUR,LCD,PRT,APV,APV
OBS,OBS,OBS,ACG,ACP,OBS,OBS,AUR,OBS,LIT,OBS,OBS,OBS
ACG,PRT,AST,OBS,OBS,SAC,APV,OBS,ACD,OBS,AST,NAL,ACG
OBS,OBS,OBS,PRT,ACP,OBS,AUR,AUR,AUR,NAL,APV,LCD,OBS
ACG,ACG,ACG,OBS,OBS,AST,OBS,OBS,OBS,OBS,OBS,OBS,LIT
OBS,ACE,OBS,PRT,ACP,ACP,NAL,AUR,ACE,NAL,EMA,NAL,OBS
ACP,OBS,ACG,OBS,OBS,NAL,ECA,OBS,OBS,AUR,OBS,ACA,CBA
OBS,PRT,PRT,PRT,ACA,OBS,ACG,AUR,AUR,OBS,EMA,OBS,OBS
CBA,OBS,OBS,OBS,OBS,,AST,OBS,OBS,ACP,OBS,ACP,ACP
OBS,ACG,NAL,APV,AUR,,LCD,AUR,AUR,ACG,EMA,ACG,LIT
PRT,OBS,PRT,OBS,OBS,,ECA,OBS,OBS,OBS,OBS,OBS,OBS
OBS,PRT,NAL,NAL,AUR,,AST,NAL,APV,AUR,EMA,NAL,LIT
AST,OBS,OBS,OBS,OBS,,OBS,AUR,OBS,OBS,OBS,APV,OBS
APV,ACG,AUR,SCL,AUR,,AUR,OBS,SAC,LIT,NAL,OBS,ACG
OBS,OBS,NAL,OBS,OBS,,NAL,AUR,OBS,PRT,PRT,NAL,OBS
PRT,ACG,OBS,ACG,CBA,,ACG,OBS,AUR,OBS,OBS,APV,ACG
SCL,ACE,LCD,OBS,OBS,,ACD,AUR,OBS,LIT,PRT,OBS,ACP
PRT,PRT,OBS,ECA,ACP,,AST,OBS,CBA,OBS,LIT,APV,OBS
OBS,OBS,AUR,CBA,OBS,,NAL,LCD,OBS,PRT,OBS,OBS,ACG
PRT,AST,NAL,NAL,ACP,,ACG,ECA,ACG,ACA,NAL,NAL,OBS
OBS,OBS,OBS,OBS,OBS,,AST,OBS,ACP,AUR,AST,AST,ACP
SAC,AST,NAL,NAL,ACP,,APV,LCD,OBS,LIT,PRT,OBS,ACG
OBS,OBS,AST,OBS,OBS,,AUR,AUR,NAL,AUR,AUR,AST,OBS
ACP,PRT,OBS,NAL,ACP,,OBS,OBS,PRT,OBS,OBS,APV,ACP
OBS,OBS,ECA,OBS,OBS,,AUR,SCL,OBS,ACP,AST,OBS,ACG
ACD,PRT,OBS,NAL,ACP,,ACG,AUR,ACG,ACA,OBS,APV,ACA
OBS,ACG,ACP,OBS,OBS,,AST,OBS,ACP,OBS,ACG,OBS,LIT
ACP,PRT,ECA,SCL,ACP,,PRT,AUR,OBS,SCL,OBS,APV,ACG
OBS,OBS,OBS,OBS,OBS,,NAL,OBS,ACD,ACG,ACG,OBS,OBS
ACP,PRT,AUR,NAL,ACP,,AST,ECA,ACE,OBS,OBS,NAL,PRT
OBS,OBS,OBS,OBS,CBA,,NAL,AUR,OBS,SCL,ACG,AUR,APV
NAL,ACG,ACP,SCL,OBS,,PRT,OBS,AUR,ACD,OBS,APV,OBS
OBS,OBS,ACG,OBS,AUR,,NAL,NAL,OBS,OBS,ACD,OBS,ACE
CBA,PRT,OBS,SCL,OBS,,OBS,ACG,AUR,SCL,OBS,NAL,PRT
OBS,OBS,AST,OBS,NAL,,AUR,AUR,OBS,AST,ACD,OBS,OBS
NAL,PRT,OBS,SCL,OBS,,OBS,OBS,AUR,ACE,AST,ACA,AUR
OBS,OBS,AST,OBS,AUR,,AUR,NAL,ACP,PRT,OBS,OBS,ACA
AST,PRT,OBS,SCL,OBS,,ACG,AUR,OBS,OBS,AST,ACA,OBS
AUR,OBS,AST,OBS,ACD,,AST,OBS,ACP,AST,ACD,OBS,ACE
OBS,ACG,OBS,SCL,OBS,,ACG,ACG,OBS,OBS,OBS,PRT,PRT
AUR,ACE,AST,OBS,SCL,,AST,OBS,ACP,ACE,PRT,OBS,OBS
NAL,PRT,OBS,SCL,OBS,,ECA,ACG,OBS,OBS,APV,PRT,AST
OBS,ACG,AST,LCD,SCL,,AST,OBS,PRT,ACG,OBS,APV,OBS
ACE,PRT,OBS,OBS,OBS,,ACG,AST,OBS,OBS,APV,OBS,ACE
ACG,ACP,AST,NAL,SCL,,AST,AUR,NAL,NAL,OBS,APV,PRT
PRT,ACG,OBS,OBS,OBS,,APV,NAL,ACE,ACE,AST,OBS,OBS
OBS,PRT,ACG,SCL,SCL,,AUR,OBS,PRT,PRT,ACD,APV,PRT
ACG,OBS,OBS,OBS,OBS,,APV,AUR,NAL,OBS,ECA,OBS,AST
PRT,PRT,,PRT,SCL,,AUR,OBS,OBS,NAL,ACD,NAL,OBS
ACE,OBS,,NAL,OBS,,APV,AUR,PRT,AST,OBS,AUR,PRT
PRT,ACG,,APV,ACD,,OBS,SCL,APV,OBS,ECA,OBS,OBS
OBS,PRT,,NAL,OBS,,APV,AUR,NAL,PRT,LCD,NAL,ACE
ACG,OBS,,APV,NAL,,AUR,SCL,OBS,OBS,AST,ACG,ACD
ACE,ACG,,NAL,OBS,,OBS,OBS,APV,NAL,PRT,OBS,PRT
PRT,PRT,,OBS,ACD,,NAL,SCL,OBS,PRT,APV,ACG,OBS
AST,OBS,,SCL,OBS,,ECA,AUR,AST,AST,OBS,OBS,AST
OBS,PRT,,OBS,ACD,,PRT,OBS,OBS,OBS,NAL,ACA,OBS
AST,AST,,NAL,OBS,,OBS,AUR,AST,NAL,OBS,OBS,AST
OBS,OBS,,OBS,NAL,,APV,OBS,OBS,ACA,NAL,ACP,OBS
SAC,ACE,,PRT,OBS,,NAL,AUR,AST,OBS,,OBS,PRT
OBS,PRT,,ACP,NAL,,APV,OBS,OBS,NAL,,ACP,ACG
AUR,AST,,OBS,OBS,,NAL,SCL,SAC,LIT,,ACG,ACP
OBS,OBS,,ACD,NAL,,APV,AUR,AUR,AUR,,OBS,OBS
PRT,ACG,,OBS,OBS,,NAL,OBS,OBS,LIT,,ACG,SAC
OBS,PRT,,ACD,AST,,APV,SCL,,AUR,,OBS,OBS
PRT,OBS,,SCL,OBS,,OBS,AUR,,OBS,,ACG,ACE
OBS,ACG,,ACD,AST,,PRT,OBS,,PRT,,OBS,PRT
ACG,OBS,,OBS,OBS,,OBS,AUR,,ACE,,NAL,OBS
ACE,AST,,ACD,AST,,ECA,OBS,,OBS,,ACA,PRT
OBS,PRT,,OBS,OBS,,AUR,ACG,,PRT,,PRT,OBS
ACP,OBS,,ACD,AST,,OBS,AUR,,OBS,ACE,OBS,PRT
AUR,PRT,,OBS,OBS,,LCD,OBS,,AUR,PRT,PRT,OBS
AST,AST,,ACD,AST,,ACG,ACG,,OBS,OBS,OBS,APV
APV,OBS,,OBS,OBS,,ECA,AUR,,LIT,ACG,ACA,OBS
